accession_num|name|date|url|img_urls
AKM622.13|Pen Holder (Ott. Kubur)|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pen-holder-ott.-kubur-|https://www.agakhanmuseum.org/dataset-images/bzuxlftuv4r-286c20d8-c088-48c4-9352-feb8021b37f6/AKM622.13.1_2021_HERO1.jpg
AKM622.12|Inkwell|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/inkwell-akm622.12-|https://www.agakhanmuseum.org/dataset-images/bzuhjncqd2r-704452a8-77f2-4d94-9e34-28f41fa73e04/AKM622.12_2021_HERO1.jpg
AKM622.11|Inkwell|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/inkwell|https://www.agakhanmuseum.org/dataset-images/bzu61y8a2u3-727cec1d-6b52-4185-b34b-31faee825683/AKM622.11_2021_HERO1.jpg
AKM622.10|Pen rest|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/pen-rest|https://www.agakhanmuseum.org/dataset-images/bztlimuyz3v-91863469-2fa4-42fa-a50b-214949178e1d/AKM622.10_2021_HERO1.jpg
AKM574|An Architectural Element (Muqarnas)|second half of 15th century|https://www.agakhanmuseum.org/collection/artifact/an-architectural-element-muqarnas-|https://www.agakhanmuseum.org/dataset-images/82m8paqcijz-6793a524-673e-4f0d-b570-b36fca26beb5/AKM574_2021_HERO.jpg
AKM430|Prince and Courtiers in a pavilion|17th century|https://www.agakhanmuseum.org/collection/artifact/prince-and-courtiers-in-a-pavilion|https://www.agakhanmuseum.org/dataset-images/bzt19enxgwr-cf108ee9-d25b-40a7-88c9-c93c7f608e00/AKM430_2021_HERO1.jpg
AKM423|A Musician playing a Stringed Instrument,Page from a Muraqqa‘ (album)|17th century (assemblage: probably 19th century)|https://www.agakhanmuseum.org/collection/artifact/a-musician-playing-a-stringed-instrument-page-from-a-muraqqa-album-|https://www.agakhanmuseum.org/dataset-images/bzsxc7ljl8z-4b87b6f5-9bfb-4729-a985-ab2df2a56843/AKM423_2021_HERO.jpg
AKM42|The Constellation Aries (with text from the Constellation of Taurus), From Kitab Suwar al-Kawakib al-Thabita (Book of the Images of Fixed Stars)|16th to 17th centuries|https://www.agakhanmuseum.org/collection/artifact/the-constellation-aries-with-text-from-the-constellation-of-taurus-from-kitab-suwar-al-kawakib-al-thabita-book-of-the-images-of-fixed-stars-|https://www.agakhanmuseum.org/dataset-images/bzssdnok557-085e7d95-3406-42d9-b535-03c43059ca52/AKM42_2021_HERO.jpg
AKM414|Khusrau and Shirin Serenading One Another ,Folio from a manuscript of Khamseh (Quintet)|ca. 1560|https://www.agakhanmuseum.org/collection/artifact/khusrau-and-shirin-serenading-one-another-folio-from-a-manuscript-of-khamseh-quintet-|https://www.agakhanmuseum.org/dataset-images/bzsojyv22m3-e71a0f5d-43aa-4d79-8398-84c852527b1a/AKM414_2019_HERO1.jpg
AKM317|Qur'an Manuscript|ca. 1550–1565|https://www.agakhanmuseum.org/collection/artifact/qur-an-manuscript|https://www.agakhanmuseum.org/dataset-images/bzsiiofrtc3-f3730f4a-5c4d-4c22-ba0c-bc8912e7103f/AKM00317_0280_HERO2.jpg
AKM292|Leaf from a Qur’an Manuscript|9th Century|https://www.agakhanmuseum.org/collection/artifact/leaf-from-a-qur-an-manuscript|https://www.agakhanmuseum.org/dataset-images/82nvqfc2i67-b8d2dc57-39ad-44e1-9a72-04f1b5dff54d/AKM292_2020_HERO.jpg
AKM231|Folio from a Manuscript of Yusuf and Zulaykha|1556-57/AH 964|https://www.agakhanmuseum.org/collection/artifact/folio-from-a-manuscript-of-yusuf-and-zulaykha|https://www.agakhanmuseum.org/dataset-images/bzrpf00621n-17fa44a8-e17a-4abb-bdff-fb3618bef003/AKM231_2020_HERO1.jpg
AKM202|Musicians and Dancers performing before Sher Singh (1807-1843)|1874|https://www.agakhanmuseum.org/collection/artifact/musicians-and-dancers-performing-before-sher-singh-1807-1843-|https://www.agakhanmuseum.org/dataset-images/bzrgylncirv-f1827ba4-de75-430c-a3e3-1c4d0203b211/AKM202_2021_HERO.jpg
AKM2|Folio from the Manuscript of Khawass al-Ashjar (The Characteristics of Trees)|13th century|https://www.agakhanmuseum.org/collection/artifact/folio-from-the-manuscript-of-khawass-al-ashjar-the-characteristics-of-trees-|https://www.agakhanmuseum.org/dataset-images/bzrd29ohb6j-032c1ab5-b93d-4de3-864a-0316b499f95c/AKM2_2021_HERO1.jpg
AKM188|Mirza Salim attended by Turbiyat Khan|ca. 1830|https://www.agakhanmuseum.org/collection/artifact/mirza-salim-attended-by-turbiyat-khan|https://www.agakhanmuseum.org/dataset-images/bzr5re5t10b-3a26a83d-d121-42ff-b220-c0ed55dc281b/AKM188_2021_HERO.jpg
AKM622.1|Scissors|18th to 19th century|https://www.agakhanmuseum.org/collection/artifact/scissors-akm622.1-|https://www.agakhanmuseum.org/dataset-images/ayjoz6f3zzf-bc551c5d-a9e2-4662-8adb-e67e7e52c48c/AKM622.1_2021_HERO.jpg
PS24|Robe|20th century|https://www.agakhanmuseum.org/collection/artifact/robe|https://www.agakhanmuseum.org/dataset-images/9oleiaqdjtr-3577e969-f2f1-4b22-b956-7e853fa6f1ef/PS24_2021_HERO.jpg
AKM806|Box and Cover|1506-1521|https://www.agakhanmuseum.org/collection/artifact/box-and-cover|https://www.agakhanmuseum.org/dataset-images/9okdxum0nab-53fe078f-5365-4ebe-93c3-b20a0c743ad3/AKM806_2021_HERO.jpg
AKM269|A manuscript of Book of Kings (Shahnameh)|1492-1493/AH 898|https://www.agakhanmuseum.org/collection/artifact/a-manuscript-of-book-of-kings-shahnameh-|https://www.agakhanmuseum.org/dataset-images/9oivufkjgyj-d845676a-09d5-465f-b70f-ad2c42fb3707/AKM269.side_2019_hero.jpg
AKM147|Eskandar in a Tree Pavilion|ca. 1610|https://www.agakhanmuseum.org/collection/artifact/eskandar-in-a-tree-pavilion|https://www.agakhanmuseum.org/dataset-images/9oiizrblf3j-a443761e-0a74-43df-8252-db6e69b84a39/AKM147.detail_2021_HERO1.jpg
AKM138|Rama speaks to the hermit Bharadvaja outside his Dwelling, From a Ramayana manuscript|ca. 1700-1710|https://www.agakhanmuseum.org/collection/artifact/rama-speaks-to-the-hermit-bharadvaja-outside-his-dwelling-from-a-ramayana-manuscript|https://www.agakhanmuseum.org/dataset-images/9oicggejkmb-4d2ed964-f3e0-4b01-86a0-b6617627317f/AKM138_2021_HERO1.jpg
AKM131|Balarama slays Rukmi, King of Kalinga, From a dispersed manuscript of the Legend of the Blessed One (Bhagavata Purana)|ca. 1540|https://www.agakhanmuseum.org/collection/artifact/balarama-slays-rukmi-king-of-kalinga-from-a-dispersed-manuscript-of-the-legend-of-the-blessed-one-bhagavata-purana-|https://www.agakhanmuseum.org/dataset-images/9oi0s9gyvkf-78369d00-2781-4d7e-883b-deca7bc2fc1d/AKM131_2021_HERO1.jpg
AKM272.f3r|Frontispiece, from a manuscript of Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272.f3r|https://www.agakhanmuseum.org/dataset-images/8vzekppthnn-4197920e-b7f7-44fc-9aad-befe12d73f4c/AKM272.f2v_f3r_2019_HERO.jpg
AKM272.f318r|Finispiece, from a manuscript of Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272.f318r|https://www.agakhanmuseum.org/dataset-images/8vyo9bq6s0n-c9449ed0-b024-436e-a086-2102671ee390/AKM272.f317v_f318r_2019_HERO.jpg
AKM272.f317v|Finispiece, from a manuscript of Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272.f317v|https://www.agakhanmuseum.org/dataset-images/8vydr6vfizr-382d6f73-4422-4d5a-97b0-da1e899901cd/AKM272.f317v_f318r_2019_HERO.jpg
AKM272.f2v|Frontispiece, from a manuscript of Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272.f2v|https://www.agakhanmuseum.org/dataset-images/8vxi4f0awnb-2e836501-3c47-4f19-b4cd-87b541802b74/AKM272.f2v_f3r_2019_HERO.jpg
AKM272.f2r|Frontispiece, from a manuscript of Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272.f2r|https://www.agakhanmuseum.org/dataset-images/8vwz1099px7-31ed2361-f695-4ca3-8e03-9f49a6eb2af0/AKM272.f1v_f2r_2019_HERO.jpg
AKM272.f1v|Frontispiece, from a manuscript of Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272.f1v|https://www.agakhanmuseum.org/dataset-images/8vr7ku9d62r-33a9e66d-f150-4e91-a6db-77c4085277be/AKM272.f1v_f2r_2019_HERO.jpg
AKM272|Manuscript of the Nigaristan|1573-74 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/akm272|https://www.agakhanmuseum.org/dataset-images/8vmrs150qhz-08312a73-e861-4ccb-a20c-bd5579ba81eb/AKM272.front%20binding%20with%20flap_2019_INDEX.jpg
AKM790|Bowl depicting Bahram Gur and Azadeh|late 12th to early 13th Century|https://www.agakhanmuseum.org/collection/artifact/bowl-depicting-bahram-gur-and-azadeh|https://www.agakhanmuseum.org/dataset-images/8k0i0oiv1hn-e3a64753-230e-4920-bf1d-95d87905cd53/AKM790.top_2020_HERO2.jpg
AKM71|Zahhak Consults the Physicians, Folio from the Book of Kings (Shahnameh) of Shah Ismail II|ca. 1576|https://www.agakhanmuseum.org/collection/artifact/zahhak-consults-the-physicians-folio-from-the-book-of-kings-shahnameh-of-shah-ismail-ii|https://www.agakhanmuseum.org/dataset-images/8jzkqdnir1f-7eb651a5-8c34-42ef-8e0b-988b32f457c2/AKM71_2021_HERO.jpg
AKM642|Panel from a Mirror Case with Fath ‘Ali Shah and Courtiers|ca. 1820|https://www.agakhanmuseum.org/collection/artifact/panel-from-a-mirror-case-with-fath-ali-shah-and-courtiers|https://www.agakhanmuseum.org/dataset-images/8jz4mr2uaa3-0cf4f6b4-1ff1-4755-a9cf-02d50a06db4a/AKM642_2020_HERO1.jpg
AKM215|The Conquest of Tunisia|12 January 1581 CE/6 Dhu'l-Hijja 988 AH/AH 988|https://www.agakhanmuseum.org/collection/artifact/the-conquest-of-tunisia|https://www.agakhanmuseum.org/dataset-images/8jws35k9nsf-79b14a44-e74b-4f2f-8fd5-720da281eae5/AKM215_2020_HERO1.jpg
AKM116|The Marriage of 'Ali and Fatima|ca. 1850|https://www.agakhanmuseum.org/collection/artifact/the-marriage-of-ali-and-fatimathe-marriage-of-ali-and-fatima|https://www.agakhanmuseum.org/dataset-images/8jwb456vaib-c7d17694-8dc3-4d83-bf58-62d190ce6ceb/AKM116_2020_HERO1.jpg
AKM375|The Manuscript of Gulistan (Rose Garden)|1572-73 CE/980 AH/AH 980|https://www.agakhanmuseum.org/collection/artifact/the-manuscript-of-gulistan-rose-garden-|https://www.agakhanmuseum.org/dataset-images/8jxym1nqpmr-19240b4e-ed84-4479-ac6d-6b6c778f7686/AKM00375_1_HERO.jpg
AKM312|Leaf from a Qur’an Manuscript|ca. 1350-1400|https://www.agakhanmuseum.org/collection/artifact/leaf-from-a-qur-an-manuscript/312|https://www.agakhanmuseum.org/dataset-images/8jxu22jdj0f-9941fd76-9f6d-4961-a65a-7ee461287e0a/AKM312_2020_HERO.jpg
AKM223|Folio from a Qur’an Manuscript|ca. 1150|https://www.agakhanmuseum.org/collection/artifact/folio-from-a-qur-an-manuscript|https://www.agakhanmuseum.org/dataset-images/82nolcj5m3v-626794bf-4623-418c-a8e6-33369499a847/AKM223_2020_HERO.jpg
AKM872|Tile|1560-1570|https://www.agakhanmuseum.org/collection/artifact/tile/872|https://www.agakhanmuseum.org/dataset-images/82ng4etdtwz-b88fd6c2-ed75-4e04-b1c5-386f352ce983/AKM872_2021_HERO.jpg
AKM859|Tile|Early 14th Century|https://www.agakhanmuseum.org/collection/artifact/tile/859|https://www.agakhanmuseum.org/dataset-images/82n94i0eejj-752fb2b2-bc8c-4987-a039-a6780892850a/AKM859_2021_HERO.jpg
AKM796|Tile|Early 14th Century|https://www.agakhanmuseum.org/collection/artifact/tile|https://www.agakhanmuseum.org/dataset-images/82n23lvamsz-b39eabbc-cb44-4608-9cea-48f069e8c657/AKM796_2021_HERO1.jpg
AKM630|Beam|14th Century|https://www.agakhanmuseum.org/collection/artifact/beam|https://www.agakhanmuseum.org/dataset-images/82mrkxw77o3-76377b2e-7269-44b4-a3cb-f8c1630c904e/AKM630_2021_HERO.jpg
AKM208|A Musician Plays the tanpura for Nawab Mir Qasim Khan|ca. 1760|https://www.agakhanmuseum.org/collection/artifact/a-musician-plays-the-tanpura-for-nawab-mir-qasim-khan-akm208|https://www.agakhanmuseum.org/dataset-images/6njwcboxg6n-3e0deec2-dd1b-4097-9036-de85c3f084a8/AKM208_2021_Hero1.jpg
AKM971|Drawing of the Tombstone of Shah Jahan|ca. 1820|https://www.agakhanmuseum.org/collection/artifact/akm971|https://www.agakhanmuseum.org/dataset-images/3ogqlv48joj-8dd21cda-08e1-4adb-a589-05c57fba8e48/AKM971_2020_Hero1.jpg
AKM469|A Maiden Beautifies Herself|ca. 1800-1810|https://www.agakhanmuseum.org/collection/artifact/akm469|https://www.agakhanmuseum.org/dataset-images/3oghwqwcnr3-a77f275e-93d0-463d-af35-74ef3279aee9/AKM469_2020_hero1.jpg
AKM1005|Binding, outer covers and doublures|1700-50|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures/akm1005|https://www.agakhanmuseum.org/dataset-images/1d2m0a0aqjr-e60b99bd-3d65-46e9-822b-b5ab777787fb/AKM1005.outside_2020_HERO4.jpg
AKM1001|Binding, outer covers and doublures: upper, lower, and flap|18th-19th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures-upper-lower-and-flap/akm1001|https://www.agakhanmuseum.org/dataset-images/1d28a3xk4kv-413b470a-c56d-4322-9722-f89c945e42a9/AKM1001_2020_HERO1.jpg
AKM993|Binding, outer covers and doublures: upper, lower, and flap|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures-upper-lower-and-flap|https://www.agakhanmuseum.org/dataset-images/1d204wx7z7v-8c730ad0-566b-4481-b861-ccfa2b032bd0/AKM993.open_2020_HERO2.jpg
AKM988|Binding, covers with flap and doublures|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-covers-with-flap-and-doublures|https://www.agakhanmuseum.org/dataset-images/1d1qwaelurz-4c6a6166-fb34-4306-8e7c-9082b7f349b8/AKM988.open.back_2020_HERO4.jpg
AKM1006|Leather folios: upper and lower|1817-18 CE/1233 AH|https://www.agakhanmuseum.org/collection/artifact/leather-folios-upper-and-lower|https://www.agakhanmuseum.org/dataset-images/19r2dciv0mf-9b14df8b-7351-48b6-b06b-1630bfb50dfd/AKM1006_2020_HERO1.jpg
AKM1004|Binding, outer cover: upper or lower|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-upper-or-lower|https://www.agakhanmuseum.org/dataset-images/19qptoj20fz-6b06b78a-240f-4956-a922-2b7dce1a88c7/AKM1004_2020_HERO1.jpg
AKM1003|Binding, back outer cover and flap|18th-19th century|https://www.agakhanmuseum.org/collection/artifact/binding-back-outer-cover-and-flap/akm1003|https://www.agakhanmuseum.org/dataset-images/19qjrt4w9hr-9e7ed77c-2b81-4599-8640-ed154f6ffbe5/AKM1003.open_2020_HERO.jpg
AKM1002|Binding, back outer cover and flap|18th-19th century|https://www.agakhanmuseum.org/collection/artifact/binding-back-outer-cover-and-flap|https://www.agakhanmuseum.org/dataset-images/19qbuxc6jwb-cf77b0c3-00d4-49f7-9999-e570652b35fd/AKM1002_2020_HERO2.jpg
AKM1000|Binding, outer cover and doublure|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-and-doublure|https://www.agakhanmuseum.org/dataset-images/19q67qnu0ur-719e525f-81c4-4859-ae6d-7dcada356c28/AKM1000_2020_HERO1.jpg
AKM999|Binding, outer cover and doublure: upper or lower|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-and-doublure-upper-or-lower/akm999|https://www.agakhanmuseum.org/dataset-images/19pzoyan7j3-330d72f4-e413-44e2-be21-6c74602a7835/AKM999_2020_HERO1.jpg
AKM997|Binding flap: outer and inner|1490-1520|https://www.agakhanmuseum.org/collection/artifact/binding-flap-outer-and-inner|https://www.agakhanmuseum.org/dataset-images/19po47rvpwf-e929fbe0-8f1a-4cb2-8a86-6d101a872d99/AKM997.back_2020_HERO2.jpg
AKM996|Binding, flap: inner and outer|17th century|https://www.agakhanmuseum.org/collection/artifact/binding-flap-inner-and-outer/akm996|https://www.agakhanmuseum.org/dataset-images/19p5cubw6g3-3c3b38b3-0e1c-4bc9-9977-d34cb02133dd/AKM996_2020_HERO1.jpg
AKM995|Binding, flap: inner and outer|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-flap-inner-and-outer/akm995|https://www.agakhanmuseum.org/dataset-images/19os0gumql3-9fe60dfa-49ad-42e5-a04f-3a90ca55630f/AKM995_2020_HERO1.jpg
AKM994|Binding, back outer cover and doublure|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-back-outer-cover-and-doublure|https://www.agakhanmuseum.org/dataset-images/198mdfvby4r-6f210848-76b1-4035-a603-bf90ca6087cf/AKM994.open_2020_HERO4.jpg
AKM992|Binding, outer covers and doublures|18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures/akm992|https://www.agakhanmuseum.org/dataset-images/1986e093lcr-c270b5f3-a88c-43cc-96c3-c47c8670d35b/AKM992_2020_HERO1.jpg
AKM991|Binding, outer cover|19th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover|https://www.agakhanmuseum.org/dataset-images/197qm9u6gxb-413d2ce4-2816-416e-9809-5815c7e7d306/AKM991_2020_HERO1.jpg
AKM990|Binding, outer cover and doublure: upper or lower|possibly early 18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-and-doublure-upper-or-lower/akm990|https://www.agakhanmuseum.org/dataset-images/197c8h4cs7f-77eb9071-81ba-4117-995e-a28c78efecab/AKM990_2020_HERO1.jpg
AKM989|Binding, outer cover and doublure: upper or lower|possibly early 18th century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-and-doublure-upper-or-lower/akm989|https://www.agakhanmuseum.org/dataset-images/196nyrqb0l7-8781c65f-7885-41a5-baf4-6baf647597b4/AKM989_2020_HERO1.jpg
AKM982|Binding, outer cover and doublure: upper or lower|18th Century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-and-doublure-upper-or-lower|https://www.agakhanmuseum.org/dataset-images/195wcdg5o8f-462bf09f-7a5f-4a15-88f1-8752a5b98d9b/AKM982_2020_HERO1.jpg
AKM981|Binding, flap: inner and outer|possibly 18th century|https://www.agakhanmuseum.org/collection/artifact/binding-flap-inner-and-outer-akm981|https://www.agakhanmuseum.org/dataset-images/195cytjdunf-2d3582b0-d19e-445c-8a83-0c25509cf619/AKM981_2020_HERO1.jpg
AKM980|Binding, flap: inner and outer|14th or 15th century|https://www.agakhanmuseum.org/collection/artifact/binding-flap-inner-and-outer|https://www.agakhanmuseum.org/dataset-images/194vxqjnyrn-6e7a5bdf-c300-46b5-ba80-4b9e25927970/AKM980_2020_HERO1.jpg
AKM976|Binding, outer cover: upper or lower|14th or 15th century|https://www.agakhanmuseum.org/collection/artifact/akm976|https://www.agakhanmuseum.org/dataset-images/194k527wp6j-d4340fa4-be35-4cf5-8d09-ce61c195252d/AKM976_2020_HERO1.jpg
AKM394|Binding, outer covers and doublures: upper, lower, and flap|possibly 17th century|https://www.agakhanmuseum.org/collection/artifact/akm394|https://www.agakhanmuseum.org/dataset-images/1940wc2f0yv-d223f0ee-7802-4991-b385-16553f94854d/AKM394.back.outside_2020_HERO3.jpg
AKM393|Binding, outer covers and doublures: upper and lower and flap|possibly 17th-18th century|https://www.agakhanmuseum.org/collection/artifact/akm393|https://www.agakhanmuseum.org/dataset-images/1938vy41f3b-94a1fff8-d275-4b37-b6d7-673b614e8d1b/AKM393.back.outside_2020_HERO3.jpg
AKM391|Binding, outer covers and doublures: upper, lower, and flap|possibly 17th century|https://www.agakhanmuseum.org/collection/artifact/akm391|https://www.agakhanmuseum.org/dataset-images/191yc2qht1n-1b9b50fd-a607-4b70-b0a9-104c43057b0a/AKM391.back_2020_HERO2.jpg
AKM390|Binding, outer covers and doublures: upper and lower|Possibly late 16th century|https://www.agakhanmuseum.org/collection/artifact/akm390|https://www.agakhanmuseum.org/dataset-images/18ufzd0v773-601d1c5a-9dca-453b-b9c2-1db3789f9a37/AKM390.back.outside_2020_HERO3.jpg
AKM389|Binding, outer covers and doublures: upper, lower, and flap|possibly late 16th century|https://www.agakhanmuseum.org/collection/artifact/akm389|https://www.agakhanmuseum.org/dataset-images/18tj1nz5w57-98efc4a5-f061-4514-8d91-d40cc476ede5/AKM389.back.outside_2020_HERO3.jpg
AKM998|Binding, outer covers and doublures|19th Century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures-akm998|https://www.agakhanmuseum.org/dataset-images/ax27swyt0xv-15758411-0155-433c-9691-ef520d56fd1c/AKM998_04_2015-HERO.jpg
AKM984|Binding, outer covers and doublures|early 17th Century|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures|https://www.agakhanmuseum.org/dataset-images/ax1kj3nr19v-260169f5-bd8b-4875-8dd4-15e2f53025c4/AKM984_2020_HERO.jpg
AKM983|Binding, upper and lower doublures and pasteboard skeleton outer cover|ca. 1520|https://www.agakhanmuseum.org/collection/artifact/binding-upper-and-lower-doublures-and-pasteboard-skeleton-outer-cover|https://www.agakhanmuseum.org/dataset-images/ax11b8t8sqz-08cb1d21-df64-454a-99cf-fac4a0cf9a7e/AKM983.a_2020_HERO.jpg
AKM975|Binding, outer covers and doublures: upper and lower|ca. 1560|https://www.agakhanmuseum.org/collection/artifact/binding-outer-covers-and-doublures-upper-and-lower|https://www.agakhanmuseum.org/dataset-images/al8kjm32497-3a846417-85af-4214-adf9-eadde10ab5d2/AKM975_outside_2013_HERO.jpg
AKM979|Binding, outer cover and doublure: upper or lower cover|ca. 1550|https://www.agakhanmuseum.org/collection/artifact/binding-outer-cover-and-doublure-upper-or-lower-cover|https://www.agakhanmuseum.org/dataset-images/al8bktlivs3-94823736-ddcb-47e8-a206-540855fa31a3/AKM979_01_2015_HERO.jpg
AKM388|Binding, outer covers and doublures: upper, lower, and flap|ca. 1580|https://www.agakhanmuseum.org/collection/artifact/akm388|https://www.agakhanmuseum.org/dataset-images/1756qr71keb-fd092591-5a05-4b24-b8a3-8fbd14956e74/AKM388.back.outside_2020_HERO.jpg
AKM387|Binding, outer covers and doublures: upper and lower|ca. 1580|https://www.agakhanmuseum.org/collection/artifact/akm387|https://www.agakhanmuseum.org/dataset-images/9wiia45xh8z-04271792-784d-442e-85d1-afd51ed5e633/AKM387_01_2015_HERO1.jpg
AKM384|Binding, outer covers and doublures: upper, lower, and flap|ca. 1550|https://www.agakhanmuseum.org/collection/artifact/akm384|https://www.agakhanmuseum.org/dataset-images/173xfikhain-859863a0-7dc1-47b9-ad8b-7d56d1232a4c/AKM384.back.outside_2020_HERO5.jpg
AKM383|Binding, outer covers and doublures: upper, lower, and flap|ca. 1510-1550|https://www.agakhanmuseum.org/collection/artifact/akm383|https://www.agakhanmuseum.org/dataset-images/174c1poypt3-8fd30041-809e-4c77-938a-a52393e1b2bf/AKM383.outside_2020_HERO2.jpg
AKM543|Bowl|10th Century|https://www.agakhanmuseum.org/collection/artifact/akm543|https://www.agakhanmuseum.org/dataset-images/8v4c1igt313-ec2f8b5f-6617-46be-9942-acfdf651b2db/AKM543_side05_2020_HERO2.jpg
2015.1.1|Your Way Begins on the Other Side|2014|https://www.agakhanmuseum.org/collection/artifact/2015.1.1|https://www.agakhanmuseum.org/dataset-images/8v3ploo1wmr-66a54676-8b0d-4cf3-b878-d47882dae20b/2015.1.1_5_HERO1.jpg
AKM744|Bowl|10th Century|https://www.agakhanmuseum.org/collection/artifact/bowl/akm744|https://www.agakhanmuseum.org/dataset-images/8j4beld4i27-ee67ca75-21c9-40da-b7e1-9ea37f8c21f6/AKM744.top_2020_HERO1.jpg
AKM697|Bowl|Mid-18th Century|https://www.agakhanmuseum.org/collection/artifact/bowl/akm697|https://www.agakhanmuseum.org/dataset-images/8j43t2852qn-2ecebfde-4de5-4e75-ba4c-c8dab89d8dfd/AKM697.top_2020_HERO1.jpg
AKM579|Bowl|12th Century|https://www.agakhanmuseum.org/collection/artifact/bowl/akm579|https://www.agakhanmuseum.org/dataset-images/8j3y536a083-f78d7937-4075-4c78-949f-09616912a495/AKM579.top_2020_HERO1.jpg
